date,Asset A,Asset B,Market
16/05/2022,-0.318862198,-0.331312317,-0.340077565
17/05/2022,0.046342522,0.132620917,0.112040817
18/05/2022,0.087264705,-0.147612418,0.031183499
19/05/2022,-0.175651217,-0.246640108,-0.304392596
20/05/2022,-0.024535494,-0.054868115,-0.272495862
23/05/2022,-0.199193822,-0.307757078,-0.405857678
24/05/2022,-0.008314282,0.015246694,0.107985227
25/05/2022,0.059008279,0.01713054,0.318938716
26/05/2022,-0.013654762,-0.007086376,-0.189576892
27/05/2022,-0.178994236,-0.061629891,0.081996197
30/05/2022,0.077342318,0.113932697,0.101697563
31/05/2022,0.195611513,0.414941287,0.249885414
01/06/2022,-0.304957187,-0.49259093,-0.785501178
02/06/2022,-0.266379484,-0.339480732,-0.149736775
03/06/2022,-0.054246256,-0.059331531,-0.079337867
06/06/2022,-0.020985345,-0.148165973,-0.051468395
07/06/2022,-0.16858987,-0.215843385,-0.28195098
08/06/2022,-0.225241102,-0.25561183,-0.019360839
09/06/2022,0.361407184,0.474146795,0.53157625
10/06/2022,-0.055026657,-0.159463876,-0.235999088
13/06/2022,0.041525141,-0.023801551,0.0923553
14/06/2022,1.026142678,1.094694998,1.353851602
15/06/2022,1.171533555,1.560742383,2.295586616
16/06/2022,1.873708212,1.769878837,0.384208748
17/06/2022,-0.904629363,-1.174635407,-0.636019975
20/06/2022,0.132123017,0.426160789,0.27856338
21/06/2022,0.198566224,0.354850012,0.479375487
22/06/2022,0.12997804,0.484893896,0.157600886
23/06/2022,0.831400102,0.602306736,0.609160558
24/06/2022,-0.133209732,-0.538691446,-0.480300147
27/06/2022,-0.078460136,-0.092649267,0.095195026
28/06/2022,-0.000735893,-0.026057294,-0.028474204
29/06/2022,0.5045799,0.630087183,1.056297416
30/06/2022,0.327074437,0.302971498,0.440049223
01/07/2022,-0.051163469,-0.511179391,0.334083188
04/07/2022,0.876604675,1.470360059,1.560437878
05/07/2022,0.491626093,0.511666018,0.217490923
06/07/2022,0.897174114,0.897466628,0.609209754
07/07/2022,1.942525582,2.01796948,1.26029388
08/07/2022,-0.770846932,-1.374169462,-0.822397627
11/07/2022,-0.376824013,-0.48936403,-1.104068959
12/07/2022,0.215067796,0.013780514,0.83207119
13/07/2022,0.127341129,0.237705516,0.815297378
14/07/2022,-0.183152625,0.126566157,-0.567348749
15/07/2022,-1.150970551,-1.449688473,-1.610654809
